,Open,High,Low,Close,Adj Close,Volume,Date,Company
0,88.860001,88.870003,85.220001,87.110001,86.256699,91800.0,2021-07-06,AIN
1,86.550003,88.400002,86.040001,88.099998,87.237,82900.0,2021-07-07,AIN
2,86.040001,88.040001,85.629997,86.650002,85.801208,70500.0,2021-07-08,AIN
3,88.0,89.07,86.269997,88.559998,87.69249,53800.0,2021-07-09,AIN
4,87.279999,88.040001,86.800003,87.889999,87.02906,63600.0,2021-07-12,AIN
5,87.290001,88.489998,85.449997,85.510002,84.672379,139900.0,2021-07-13,AIN
6,86.209999,86.5,83.809998,84.120003,83.295998,95000.0,2021-07-14,AIN
7,83.839996,84.620003,82.709999,83.199997,82.384995,93300.0,2021-07-15,AIN
8,84.190002,84.190002,81.970001,82.010002,81.206657,87700.0,2021-07-16,AIN
9,80.120003,80.559998,78.239998,78.949997,78.176628,151000.0,2021-07-19,AIN
10,79.349998,83.279999,78.480003,81.790001,80.988823,154500.0,2021-07-20,AIN
11,82.800003,84.25,82.730003,83.32,82.50383,86900.0,2021-07-21,AIN
12,82.82,83.07,80.790001,81.169998,80.374886,54000.0,2021-07-22,AIN
13,81.510002,82.699997,80.360001,81.650002,80.850197,46000.0,2021-07-23,AIN
14,82.720001,83.040001,81.190002,81.699997,80.899696,88500.0,2021-07-26,AIN
15,86.0,88.400002,84.519997,85.68,84.840706,167400.0,2021-07-27,AIN
16,85.690002,85.919998,83.57,84.160004,83.335594,80600.0,2021-07-28,AIN
17,85.459999,86.830002,84.879997,85.629997,84.791191,76300.0,2021-07-29,AIN
18,86.980003,87.860001,85.209999,86.349998,85.504143,90700.0,2021-07-30,AIN
19,87.0,87.839996,84.650002,85.07,84.236694,73000.0,2021-08-02,AIN
20,85.480003,86.330002,83.779999,85.629997,84.791191,134000.0,2021-08-03,AIN
21,84.339996,85.220001,82.440002,82.459999,81.65226,53700.0,2021-08-04,AIN
22,82.769997,84.160004,81.360001,83.25,82.434517,65900.0,2021-08-05,AIN
23,76.260002,79.389999,76.040001,77.120003,76.364555,557100.0,2021-08-06,AIN
24,77.120003,77.75,75.970001,76.190002,75.443672,159900.0,2021-08-09,AIN
25,76.529999,77.75,75.540001,77.699997,76.938881,166000.0,2021-08-10,AIN
26,77.129997,78.25,76.580002,78.099998,77.334969,115900.0,2021-08-11,AIN
27,77.800003,78.419998,77.290001,77.57,76.810158,191500.0,2021-08-12,AIN
28,77.919998,77.989998,76.989998,77.160004,76.404182,76000.0,2021-08-13,AIN
29,76.449997,77.519997,76.0,76.519997,75.770439,112400.0,2021-08-16,AIN
